experiment_type,model_name,preprocessing,accuracy,precision,recall,f1_score,roc_auc,dataset,notes,experiment_id,timestamp
traditional_nlp,Logistic Regression,original,0.9439228939792216,0.930858806404658,0.95925,0.9448411721250924,0.9876984206568062,fake_news,TF-IDF with original processing,tr_lr_20250902_231836,2025-09-02T23:18:36.927944
traditional_nlp,Random Forest,original,0.9336587808236324,0.928606719367589,0.93975,0.934145129224652,0.9827085109049888,fake_news,TF-IDF with original processing,tr_rf_20250902_231837,2025-09-02T23:18:37.577347
traditional_nlp,SVM,original,0.94955563900363,0.9402692778457772,0.96025,0.9501546072974644,0.9888736212083228,fake_news,TF-IDF with original processing,tr_s_20250902_231841,2025-09-02T23:18:41.886275
traditional_nlp,Naive Bayes,original,0.9330329202653648,0.9400558801117602,0.92525,0.932594179160892,0.9831208949611432,fake_news,TF-IDF with original processing,tr_nb_20250902_231841,2025-09-02T23:18:41.949688
traditional_nlp,Logistic Regression,stemmed,0.9444235824258356,0.9317629917435648,0.95925,0.9453067257945308,0.987024943594886,fake_news,TF-IDF with stemmed processing,tr_lr_20250902_231842,2025-09-02T23:18:42.792748
traditional_nlp,Random Forest,stemmed,0.930654650143948,0.9260633036597428,0.93625,0.9311287916459472,0.980929462271246,fake_news,TF-IDF with stemmed processing,tr_rf_20250902_231844,2025-09-02T23:18:44.102883
traditional_nlp,SVM,stemmed,0.946426336212292,0.937102300538424,0.95725,0.9470690081622556,0.9879091250940084,fake_news,TF-IDF with stemmed processing,tr_s_20250902_231849,2025-09-02T23:18:49.561800
traditional_nlp,Naive Bayes,stemmed,0.9310301664789083,0.9369141119837852,0.9245,0.9306656599974832,0.9813856229631486,fake_news,TF-IDF with stemmed processing,tr_nb_20250902_231850,2025-09-02T23:18:50.396857
traditional_nlp,Logistic Regression,lemmatized,0.9425460007510328,0.930255164034022,0.957,0.9434380776340112,0.9865396715968916,fake_news,TF-IDF with lemmatized processing,tr_lr_20250902_231850,2025-09-02T23:18:50.805605
traditional_nlp,Random Forest,lemmatized,0.9277756915759168,0.9218634458959822,0.935,0.9283852550577136,0.9795888067184758,fake_news,TF-IDF with lemmatized processing,tr_rf_20250902_231851,2025-09-02T23:18:51.723792
traditional_nlp,SVM,lemmatized,0.9476780573288272,0.936829268292683,0.96025,0.948395061728395,0.98753042742542,fake_news,TF-IDF with lemmatized processing,tr_s_20250902_231856,2025-09-02T23:18:56.579229
traditional_nlp,Naive Bayes,lemmatized,0.9300287895856804,0.9361216730038024,0.92325,0.9296412838263058,0.981878854349461,fake_news,TF-IDF with lemmatized processing,tr_nb_20250902_231856,2025-09-02T23:18:56.995133
sentence_transformers,Logistic Regression,basic_cleaning,0.9304043059206408,0.9233038348082596,0.939,0.9310857709469508,0.9823143645023816,fake_news,Used all-MiniLM-L6-v2 embeddings,se_lr_20250902_233305,2025-09-02T23:33:05.852308
sentence_transformers,Random Forest,basic_cleaning,0.918012266866942,0.9027209246327956,0.93725,0.9196614743039372,0.97703644397092,fake_news,Used all-MiniLM-L6-v2 embeddings,se_rf_20250902_233306,2025-09-02T23:33:06.152162
sentence_transformers,SVM,basic_cleaning,0.938790837401427,0.9280663252865154,0.9515,0.939637081841748,0.9842270305841064,fake_news,Used all-MiniLM-L6-v2 embeddings,se_s_20250902_233312,2025-09-02T23:33:12.407693
sentence_transformers,SVM,aggressive,0.955313556139692,0.9496420636879784,0.96175,0.9556576822754936,0.9907214214088744,fake_news,Features: ['clean_text'],se_s_20250903_131104,2025-09-03T13:11:04.602249
sentence_transformers,SVM,basic,0.9494304668919764,0.945049504950495,0.9545,0.9497512437810944,0.988688079719228,fake_news,Features: ['clean_text'],se_s_20250903_131947,2025-09-03T13:19:47.484643
sentence_transformers,SVM,basic,0.946426336212292,0.9422981674096088,0.95125,0.946752923612839,0.9873550388568564,fake_news,"Features: ['clean_title', 'clean_text', 'is_recent', 'is_medium_age', 'is_old']",se_s_20250903_132915,2025-09-03T13:29:15.121920
sentence_transformers,XGBoost,aggressive,0.9395418700713482,0.9373290226311862,0.94225,0.9397830694427128,0.9848779769365756,fake_news,Features: ['clean_text'],se_x_20250903_170808,2025-09-03T17:08:08.360376
sentence_transformers,LightGBM,aggressive,0.9370384278382776,0.930558975621768,0.94475,0.9376007939461604,0.9829312484331914,fake_news,Features: ['clean_text'],se_l_20250903_170810,2025-09-03T17:08:10.383454
sentence_transformers,LightGBM,aggressive,0.9370384278382776,0.930558975621768,0.94475,0.9376007939461604,0.9829312484331914,fake_news,Features: ['clean_text'],se_l_20250903_172219,2025-09-03T17:22:19.929953
sentence_transformers,SVC,aggressive,0.955313556139692,0.9496420636879784,0.96175,0.9556576822754936,0.9907214214088744,fake_news,Features: ['clean_text'],se_s_20250903_191402,2025-09-03T19:14:02.487421
sentence_transformers,SVC,aggressive,0.9540618350231568,0.9473036197980792,0.96175,0.9544721498573376,0.9902278139884684,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count']",se_s_20250903_195414,2025-09-03T19:54:14.666084
sentence_transformers,SVC,aggressive,0.954812867693078,0.9480423540999754,0.9625,0.9552164743828307,0.9903468914514916,fake_news,"Features: ['clean_text', 'year', 'quarter', 'is_weekend']",se_s_20250903_202343,2025-09-03T20:23:43.427192
sentence_transformers,SVC,aggressive,0.9541870071348104,0.9468765371372356,0.9625,0.954624349119762,0.9903687014289296,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_204847,2025-09-03T20:48:47.182644
sentence_transformers,SVC,aggressive,0.8874702716234822,0.8703128731788871,0.911,0.8901917674361793,0.9536218977187264,fake_news,"Features: ['title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_205733,2025-09-03T20:57:33.017671
sentence_transformers,SVC,aggressive,0.8874702716234822,0.8703128731788871,0.911,0.8901917674361793,0.9536218977187264,fake_news,"Features: ['title_length', 'title_word_count', 'text_length', 'text_word_count', 'year', 'quarter', 'is_weekend']",se_s_20250903_210300,2025-09-03T21:03:00.697856
traditional_nlp,Logistic Regression,original,0.9907372637376392,0.9885515181682428,0.993,0.9907707657770016,0.9994367009275508,fake_news,TF-IDF with original processing,tr_lr_20250904_024507,2025-09-04T02:45:07.673930
traditional_nlp,Random Forest,original,0.9826010764801604,0.969822341202239,0.99625,0.9828585522259218,0.9986821885184256,fake_news,TF-IDF with original processing,tr_rf_20250904_024509,2025-09-04T02:45:09.919157
traditional_nlp,SVM,original,0.9959944924270872,0.9955044955044956,0.9965,0.9960019990004998,0.9998910127851592,fake_news,TF-IDF with original processing,tr_s_20250904_030043,2025-09-04T03:00:43.252243
traditional_nlp,Naive Bayes,original,0.9559394166979596,0.954862842892768,0.95725,0.9560549313358302,0.9901780521433942,fake_news,TF-IDF with original processing,tr_nb_20250904_030045,2025-09-04T03:00:45.109349
traditional_nlp,Logistic Regression,stemmed,0.9906120916259856,0.9887920298879204,0.9925,0.990642545227698,0.9993097894209074,fake_news,TF-IDF with stemmed processing,tr_lr_20250904_030104,2025-09-04T03:01:04.358342
traditional_nlp,Random Forest,stemmed,0.9836024533733884,0.9728672696162308,0.995,0.9838091706834756,0.9984049260466282,fake_news,TF-IDF with stemmed processing,tr_rf_20250904_030124,2025-09-04T03:01:24.036637
traditional_nlp,SVM,stemmed,0.9958693203154336,0.9947617859815416,0.997,0.9958796354101636,0.999829217849085,fake_news,TF-IDF with stemmed processing,tr_s_20250904_030217,2025-09-04T03:02:17.342429
traditional_nlp,Naive Bayes,stemmed,0.9538114907998498,0.953988497124281,0.95375,0.9538692336542068,0.989658561042868,fake_news,TF-IDF with stemmed processing,tr_nb_20250904_030236,2025-09-04T03:02:36.705066
traditional_nlp,Logistic Regression,lemmatized,0.9907372637376392,0.989282153539382,0.99225,0.990763854218672,0.99941746051642,fake_news,TF-IDF with lemmatized processing,tr_lr_20250904_030245,2025-09-04T03:02:45.798786
traditional_nlp,Random Forest,lemmatized,0.9817248716985856,0.97,0.99425,0.9819753086419754,0.998647718726498,fake_news,TF-IDF with lemmatized processing,tr_rf_20250904_030255,2025-09-04T03:02:55.257335
traditional_nlp,SVM,lemmatized,0.9964951808737014,0.9957563654518222,0.99725,0.9965026230327254,0.9998670092755076,fake_news,TF-IDF with lemmatized processing,tr_s_20250904_030337,2025-09-04T03:03:37.393172
traditional_nlp,Naive Bayes,lemmatized,0.9560645888096132,0.9551010226989274,0.95725,0.9561743039081034,0.9899654048633744,fake_news,TF-IDF with lemmatized processing,tr_nb_20250904_030346,2025-09-04T03:03:46.502411
traditional_nlp,Logistic Regression,no_cleaning,0.994742771310552,0.9959899749373432,0.9935,0.9947434292866084,0.9992258711456504,fake_news,"No cleaning, simple BoW (CountVectorizer), no duplicate removal",tr_lr_20250904_133147,2025-09-04T13:31:47.060839
traditional_nlp,Logistic Regression,minimal_cleaning,0.994993115533859,0.9964894684052156,0.9935,0.9949924887330996,0.9991426422662322,fake_news,"Minimal cleaning (HTML/URLs only), simple BoW, no duplicate removal",tr_lr_20250904_133155,2025-09-04T13:31:55.824523
traditional_nlp,Logistic Regression,no cleaning no dups,0.9961001383821864,0.9957114026236124,0.9964655390053015,0.9960883280757098,0.9991037553458152,fake_news,"No cleaning + duplicate removal, simple BoW (CountVectorizer)",tr_lr_20250904_133202,2025-09-04T13:32:02.030594
traditional_nlp,Logistic Regression,minimal cleaning no dups,0.9961001383821864,0.9957114026236124,0.9964655390053015,0.9960883280757098,0.9990772620816248,fake_news,"Minimal cleaning + duplicate removal, simple BoW (CountVectorizer)",tr_lr_20250904_133210,2025-09-04T13:32:10.480500
sentence_transformers,SVC,aggressive,0.9487863055984284,0.943605236656596,0.9637438930316276,0.953568248314464,0.9887363449370432,fake_news,Features: ['clean_text'],se_s_20250904_235002,2025-09-04T23:50:02.325951
sentence_transformers,SVC,aggressive,0.9483653711238952,0.9440100882723832,0.9624582154795576,0.953144894321365,0.9885999551164328,fake_news,"Features: ['clean_text', 'title_length', 'text_length']",se_s_20250904_235633,2025-09-04T23:56:33.297886
sentence_transformers,SVC,aggressive,0.9479444366493616,0.9419597989949748,0.9640010285420416,0.9528529673401958,0.988664596347278,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count']",se_s_20250905_000334,2025-09-05T00:03:34.863734
sentence_transformers,SVC,aggressive,0.9478041251578504,0.9421674629117424,0.9634867575212136,0.9527078565980168,0.9890051142807726,fake_news,"Features: ['clean_text', 'title_capitals_ratio', 'text_capitals_ratio']",se_s_20250905_001050,2025-09-05T00:10:50.504856
sentence_transformers,SVC,aggressive,0.9514522239371404,0.947914032869785,0.9640010285420416,0.9558898521162672,0.9894547837766712,fake_news,"Features: ['clean_text', 'title_exclamation', 'title_question', 'title_quotes']",se_s_20250905_001802,2025-09-05T00:18:02.470637
sentence_transformers,SVC,aggressive,0.9489266170899396,0.9440665154950868,0.9634867575212136,0.953677780605752,0.9891368982151556,fake_news,"Features: ['clean_text', 'title_all_caps_words', 'title_sensational_count', 'sensational_score']",se_s_20250905_002456,2025-09-05T00:24:56.338071
sentence_transformers,SVC,aggressive,0.9493475515644731,0.9452296819787986,0.9629724865003856,0.954018596357152,0.9894468822994362,fake_news,"Features: ['clean_text', 'year', 'quarter', 'is_weekend']",se_s_20250905_003203,2025-09-05T00:32:03.956284
sentence_transformers,SVC,aggressive,0.9478041251578504,0.9412797992471768,0.9645152995628696,0.952755905511811,0.9887138316828116,fake_news,"Features: ['clean_text', 'title_length', 'text_length', 'title_capitals_ratio', 'title_exclamation', 'year']",se_s_20250905_003857,2025-09-05T00:38:57.176844
sentence_transformers,SVC,aggressive,0.9475235021748282,0.9414719919618186,0.9637438930316276,0.9524777636594663,0.9889861745589588,fake_news,"Features: ['clean_text', 'title_length', 'title_word_count', 'text_length', 'text_word_count', 'title_capitals_ratio', 'text_capitals_ratio', 'title_exclamation', 'title_question', 'title_quotes', 'title_all_caps_words', 'sensational_score', 'year', 'quarter', 'is_weekend']",se_s_20250905_011514,2025-09-05T01:15:14.349862
sentence_transformers,SVC,aggressive,0.9407885505822928,0.9427841634738188,0.9490871689380304,0.9459251665812404,0.9875622013023224,fake_news,"Features: ['title_length', 'title_word_count', 'text_length', 'text_word_count', 'title_capitals_ratio', 'text_capitals_ratio', 'title_exclamation', 'title_question', 'title_quotes', 'title_all_caps_words', 'sensational_score', 'year', 'quarter', 'is_weekend']",se_s_20250905_020552,2025-09-05T02:05:52.518514
sentence_transformers,SVC,aggressive,0.94654132173425,0.940040140491721,0.9634867575212136,0.9516190476190476,0.9886346580868006,fake_news,"Features: ['clean_text', 'title_length', 'text_length', 'title_capitals_ratio', 'title_exclamation', 'sensational_score', 'year']",se_s_20250905_025423,2025-09-05T02:54:23.041580
sentence_transformers,SVC,aggressive,0.94654132173425,0.940040140491721,0.9634867575212137,0.9516190476190476,0.9886346580868006,fake_news,"Features: ['clean_text', 'title_length', 'text_length', 'title_capitals_ratio', 'title_exclamation', 'sensational_score', 'year']",se_s_20250905_025423,2025-09-05T02:54:23.054690
